time,active_sessions,buffer_busy_waits,concurrency_wait_time,consistent_gets,cpu_used_by_this_session,db_block_changes,db_block_gets,db_file_scattered_read,db_file_sequential_read,db_time,enqueue_requests,enqueue_waits,execute_count,file_io_service_time,file_io_wait_time,free_buffer_waits,gc_cr_blocks_received,gc_cr_request,gc_current_blocks_received,global_enqueue_gets_async,global_enqueue_gets_sync,library_cache_lock,lock_waiting_sessions,log_buffer_space,log_file_sync,non_idle_wait_time,opened_cursors_cumulative,opened_cursors_current,parse_count_failures,parse_count_hard,parse_count_total,parse_time_cpu,parse_time_elapsed,physical_reads,physical_reads_direct,physical_writes,physical_writes_direct,recursive_calls,redo_size,row_cache_lock,session_logical_reads,user_calls,user_commits,user_rollbacks
2022-04-22 00:00:00,42,0,11,1962,5,156,161,0,0,1,232,0,227,0,4780,0,0,0,0,0,0,0,0,0,0,52880,223,167,0,10,37,1,1,1,0,1,0,567,56365,0,2124,1,0,0
2022-04-22 00:01:00,42,0,0,32,0,5,5,0,0,0,217,0,6,0,3873,0,0,0,0,0,0,0,0,0,0,23758,6,167,0,0,2,0,0,0,0,1,0,36,1022,0,37,0,0,0
2022-04-22 00:02:00,43,0,0,1,0,0,0,0,0,0,216,0,0,0,4909,0,0,0,0,0,0,0,0,0,0,18708,0,167,0,0,0,0,0,0,0,0,0,12,57,0,1,0,0,0
2022-04-22 00:03:00,43,0,0,59,0,0,0,0,0,0,217,0,11,4,182657,0,0,0,0,0,0,0,0,0,0,212707,10,164,0,0,4,0,0,0,0,20,0,70,1303,0,59,0,0,0
2022-04-22 00:04:00,44,0,0,1,0,0,0,0,0,0,216,0,0,0,15141,0,0,0,0,0,0,0,0,0,0,30291,0,164,0,0,0,0,0,0,0,2,0,12,139,0,2,0,0,0
2022-04-22 00:05:00,45,0,29,8,0,0,0,0,0,0,217,0,2,0,1717,0,0,0,0,0,0,0,0,0,0,22519,1,164,0,0,1,0,0,0,0,0,0,17,96,0,8,0,0,0
2022-04-22 00:06:00,46,0,0,0,0,0,0,0,0,0,216,0,0,0,64449,0,0,0,0,0,0,0,0,0,0,73220,0,165,0,0,0,0,0,0,0,12,0,11,638,0,0,0,0,0
2022-04-22 00:07:00,46,0,0,11,0,0,0,0,0,0,216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7932,1,165,0,0,0,0,0,0,0,0,0,17,2,0,11,0,0,0
2022-04-22 00:08:00,47,0,9,39724,52,786,800,0,0,178,301,0,804,0,6469,0,0,0,0,0,0,0,0,0,0,620562,777,171,0,19,352,4,5,47,0,0,0,2532,124645,0,40525,0,5,0
2022-04-22 00:09:00,45,0,0,49,1,6,15,0,0,50,217,0,7,0,569,0,0,0,0,0,0,0,0,0,0,13542,5,165,0,0,3,0,0,0,0,0,0,42,676,0,64,0,0,0
