time,active_db_conn_count,active_tx_count,active_users,call_count,cpu_time,cpu_usage,db_sessions,extcall_count,extcall_time,fail_count,fetch_count,fetch_time,fgc,fgct,file_count,gc_count,gc_time,heap_usage,jvm_free_heap,jvm_heap_size,jvm_mem_size,jvm_used_heap,os_free_memory,os_rcv_packets,os_send_packets,os_total_memory,prepare_count,prepare_time,response_time,socket_count,sql_count,sql_time,tgc,tgct,thread_count,tps,ygc,ygct
2022-04-28 00:00:00,0.0,0.0,0.05,0.3,0.201,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,12.0478,17745.55,130073.6,696984.0,112328.05,1.31047246E7,104.75,91.05,3.2641244E7,0.1,0,7.8823,0.0,0.1,4.9,0.05,0.15,177.9,0.2833,0.05,0.15
2022-04-28 00:01:00,0.0,0.0,0.05,0.35,0.1625,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.6403,22005.25,130534.4,696984.0,108529.15,1.31096704E7,96.65,86.2,3.2641244E7,0.1,0,7.9047,0.0,0.1,7.1,0.05,0.2,176.4,0.35,0.05,0.2
2022-04-28 00:02:00,0.0,0.0,0.05,0.1,0.157,0.0,9.0,0,0,0,0.0,0,0.0,0.0,7.0,0.05,0.2,11.3831,23661.2,129792.0,696600.0,106130.8,1.314664E7,99.45,85.1,3.2641244E7,0.0,0,2.4,0.0,0.0,0.0,0.05,0.2,176.0,0.0833,0.05,0.2
2022-04-28 00:03:00,0.0,0.0,0.05,0.25,0.158,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.8195,19489.5,129689.6,696331.6,110200.1,1.31956856E7,96.8,84.5,3.2641244E7,0.1,0,9.8571,0.0,0.1,5.2,0.05,0.2,173.3,0.2333,0.05,0.2
2022-04-28 00:04:00,0.0,0.0,0.05,0.2,0.1589,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,11.926,18855.7,130048.0,696181.2,111192.3,1.32379478E7,112.2,99.25,3.2641244E7,0.1,0,9.25,0.0,0.1,4.3,0.0,0.0,171.0,0.1999,0.0,0.0
2022-04-28 00:05:00,0.0,0.0,0.05,0.35,0.35,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,11.6096,21319.05,129561.6,695827.6,108242.55,2.3727634E7,120.8,96.4,3.2641244E7,0.1,0,8.3684,0.0,0.1,5.6,0.05,0.15,166.15,0.3166,0.05,0.15
2022-04-28 00:06:00,0.0,0.0,0.05,0.6,0.2225,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.4113,23628.5,130022.4,695816.0,106393.9,2.38986766E7,112.5,87.25,3.2641244E7,0.1,0,32.25,0.0,0.1,4.35,0.05,0.45,166.6,0.6,0.05,0.45
2022-04-28 00:07:00,0.0,0.0,0.05,0.45,0.1575,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.35,11.5566,22299.5,130048.0,695816.0,107748.5,2.37135482E7,109.8,92.1,3.2641244E7,0.1,0,6.3461,0.0,0.1,5.65,0.05,0.35,167.8,0.4333,0.05,0.35
2022-04-28 00:08:00,0.0,0.0,0.05,0.3,0.1585,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.9408,18717.4,130048.0,695816.0,111330.6,2.37138126E7,105.1,91.9,3.2641244E7,0.1,0,8.5,0.0,0.1,5.95,0.05,0.2,166.5,0.3,0.05,0.2
2022-04-28 00:09:00,0.0,0.0,0.05,0.6,0.153,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,12.1069,17168.2,130048.0,695816.0,112879.8,2.37142478E7,92.55,79.85,3.2641244E7,0.1,0,4.6388,0.0,0.1,5.1,0.05,0.3,166.0,0.6,0.05,0.3
2022-04-28 00:10:00,0.0,0.0,0.05,0.6,0.1909,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,12.0752,17463.85,130048.0,695656.4,112584.15,2.37173606E7,118.05,95.3,3.2641244E7,0.1,0,4.3888,0.0,0.1,5.05,0.0,0.0,162.2,0.6,0.0,0.0
2022-04-28 00:11:00,0.0,0.0,0.05,0.6,0.1515,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,11.9804,18348.2,130048.0,695648.0,111699.8,2.37174344E7,105.8,90.8,3.2641244E7,0.1,0,5.3611,0.0,0.1,5.55,0.05,0.15,162.0,0.6,0.05,0.15
2022-04-28 00:12:00,0.0,0.0,0.15,0.2,0.1545,0.0,9.0,0,0,0,0.0,0,0.0,0.0,7.0,0.05,0.25,11.5793,22087.9,130048.0,695648.0,107960.1,2.37165266E7,115.8,96.6,3.2641244E7,0.0,0,4.25,0.0,0.0,0.0,0.05,0.25,162.0,0.1333,0.05,0.25
2022-04-28 00:13:00,0.0,0.0,0.05,0.6,0.1595,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.6117,21785.5,130048.0,695568.2,108262.5,2.37180194E7,117.3,95.55,3.2641244E7,0.1,0,4.9722,0.0,0.1,5.8,0.05,0.45,161.05,0.6,0.05,0.45
2022-04-28 00:14:00,0.0,0.0,0.05,0.6,0.1565,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.8584,19485.8,130048.0,695484.2,110562.2,2.37187718E7,105.4,92.7,3.2641244E7,0.1,0,4.3611,0.0,0.1,5.8,0.05,0.45,160.05,0.6,0.05,0.45
2022-04-28 00:15:00,0.0,0.0,0.05,0.6,0.1555,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,12.1003,17230.35,130048.0,695480.0,112817.65,2.37189412E7,104.8,90.65,3.2641244E7,0.1,0,4.9722,0.0,0.1,5.2,0.05,0.15,160.2,0.6,0.05,0.15
2022-04-28 00:16:00,0.0,0.0,0.05,0.6,0.1765,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,12.2381,15944.9,130048.0,695480.0,114103.1,2.37131444E7,108.0,94.6,3.2641244E7,0.1,0,4.25,0.0,0.1,5.45,0.05,0.2,161.8,0.6,0.05,0.2
2022-04-28 00:17:00,0.0,0.0,0.05,0.6,0.158,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,12.044,17755.1,130048.0,695480.0,112292.9,2.37113574E7,115.15,95.5,3.2641244E7,0.1,0,4.5,0.0,0.1,5.0,0.0,0.0,162.0,0.6,0.0,0.0
2022-04-28 00:18:00,0.0,0.0,0.05,0.45,0.1585,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.4,11.84,19657.1,130048.0,695495.2,110390.9,2.37118318E7,108.55,88.35,3.2641244E7,0.1,0,9.5925,0.0,0.1,5.0,0.05,0.4,162.0,0.45,0.05,0.4
2022-04-28 00:19:00,0.0,0.0,0.05,0.6,0.157,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.5228,23100.65,130534.4,695746.8,107433.75,2.37119202E7,113.25,95.6,3.2641244E7,0.1,0,4.8333,0.0,0.1,4.85,0.05,0.45,162.0,0.6,0.05,0.45
2022-04-28 00:20:00,0.0,0.0,0.05,0.3,0.1589,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.7804,20724.65,130560.0,695836.0,109835.35,2.37134876E7,103.1,79.45,3.2641244E7,0.1,0,8.0588,0.0,0.1,5.3,0.05,0.45,161.05,0.2833,0.05,0.45
2022-04-28 00:21:00,0.0,0.0,0.05,0.2,0.159,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.4,12.1853,16949.85,130560.0,695840.0,113610.15,2.37141828E7,97.0,85.75,3.2641244E7,0.1,0,15.2727,0.0,0.1,5.6,0.05,0.4,161.0,0.1833,0.05,0.4
2022-04-28 00:22:00,0.0,0.0,0.05,0.35,0.165,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,12.0766,17962.85,130560.0,695840.0,112597.15,2.37145078E7,98.85,86.35,3.2641244E7,0.1,0,9.0952,0.0,0.1,6.9,0.0,0.0,160.95,0.35,0.0,0.0
2022-04-28 00:23:00,0.0,0.0,0.05,0.15,0.1565,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,11.6239,22183.9,130560.0,695726.0,108376.1,2.37182082E7,96.05,83.0,3.2641244E7,0.1,0,19.0,0.0,0.1,4.65,0.05,0.15,156.85,0.1166,0.05,0.15
2022-04-28 00:24:00,0.0,0.0,0.05,0.2,0.163,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,11.806,20485.75,130560.0,695670.8,110074.25,2.37216448E7,115.6,93.2,3.2641244E7,0.1,0,14.5,0.0,0.1,4.9,0.05,0.3,154.1,0.1666,0.05,0.3
2022-04-28 00:25:00,0.0,0.0,0.05,0.35,0.162,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,12.0944,17797.15,130560.0,695764.0,112762.85,2.3722292E7,101.0,83.15,3.2641244E7,0.1,0,6.3809,0.0,0.1,5.45,0.05,0.2,154.0,0.35,0.05,0.2
